,survived,pclass,sex,age,fare,who,embark_town,alone
0,0,3,male,22.0,7.25,man,Southampton,False
1,1,1,female,38.0,71.2833,woman,Cherbourg,False
2,1,3,female,26.0,7.925,woman,Southampton,True
3,1,1,female,35.0,53.1,woman,Southampton,False
4,0,3,male,35.0,8.05,man,Southampton,True
5,0,3,male,,8.4583,man,Queenstown,True
6,0,1,male,54.0,51.8625,man,Southampton,True
7,0,3,male,2.0,21.075,child,Southampton,False
8,1,3,female,27.0,11.1333,woman,Southampton,False
9,1,2,female,14.0,30.0708,child,Cherbourg,False
10,1,3,female,4.0,16.7,child,Southampton,False
11,1,1,female,58.0,26.55,woman,Southampton,True
12,0,3,male,20.0,8.05,man,Southampton,True
13,0,3,male,39.0,31.275,man,Southampton,False
14,0,3,female,14.0,7.8542,child,Southampton,True
15,1,2,female,55.0,16.0,woman,Southampton,True
16,0,3,male,2.0,29.125,child,Queenstown,False
17,1,2,male,,13.0,man,Southampton,True
18,0,3,female,31.0,18.0,woman,Southampton,False
19,1,3,female,,7.225,woman,Cherbourg,True
20,0,2,male,35.0,26.0,man,Southampton,True
21,1,2,male,34.0,13.0,man,Southampton,True
22,1,3,female,15.0,8.0292,child,Queenstown,True
23,1,1,male,28.0,35.5,man,Southampton,True
24,0,3,female,8.0,21.075,child,Southampton,False
25,1,3,female,38.0,31.3875,woman,Southampton,False
26,0,3,male,,7.225,man,Cherbourg,True
27,0,1,male,19.0,263.0,man,Southampton,False
28,1,3,female,,7.8792,woman,Queenstown,True
29,0,3,male,,7.8958,man,Southampton,True
30,0,1,male,40.0,27.7208,man,Cherbourg,True
31,1,1,female,,146.5208,woman,Cherbourg,False
32,1,3,female,,7.75,woman,Queenstown,True
33,0,2,male,66.0,10.5,man,Southampton,True
34,0,1,male,28.0,82.1708,man,Cherbourg,False
35,0,1,male,42.0,52.0,man,Southampton,False
36,1,3,male,,7.2292,man,Cherbourg,True
37,0,3,male,21.0,8.05,man,Southampton,True
38,0,3,female,18.0,18.0,woman,Southampton,False
39,1,3,female,14.0,11.2417,child,Cherbourg,False
40,0,3,female,40.0,9.475,woman,Southampton,False
41,0,2,female,27.0,21.0,woman,Southampton,False
42,0,3,male,,7.8958,man,Cherbourg,True
43,1,2,female,3.0,41.5792,child,Cherbourg,False
44,1,3,female,19.0,7.8792,woman,Queenstown,True
45,0,3,male,,8.05,man,Southampton,True
46,0,3,male,,15.5,man,Queenstown,False
47,1,3,female,,7.75,woman,Queenstown,True
48,0,3,male,,21.6792,man,Cherbourg,False
49,0,3,female,18.0,17.8,woman,Southampton,False
50,0,3,male,7.0,39.6875,child,Southampton,False
51,0,3,male,21.0,7.8,man,Southampton,True
52,1,1,female,49.0,76.7292,woman,Cherbourg,False
53,1,2,female,29.0,26.0,woman,Southampton,False
54,0,1,male,65.0,61.9792,man,Cherbourg,False
55,1,1,male,,35.5,man,Southampton,True
56,1,2,female,21.0,10.5,woman,Southampton,True
57,0,3,male,28.5,7.2292,man,Cherbourg,True
58,1,2,female,5.0,27.75,child,Southampton,False
59,0,3,male,11.0,46.9,child,Southampton,False
60,0,3,male,22.0,7.2292,man,Cherbourg,True
61,1,1,female,38.0,80.0,woman,,True
62,0,1,male,45.0,83.475,man,Southampton,False
63,0,3,male,4.0,27.9,child,Southampton,False
64,0,1,male,,27.7208,man,Cherbourg,True
65,1,3,male,,15.2458,man,Cherbourg,False
66,1,2,female,29.0,10.5,woman,Southampton,True
67,0,3,male,19.0,8.1583,man,Southampton,True
68,1,3,female,17.0,7.925,woman,Southampton,False
69,0,3,male,26.0,8.6625,man,Southampton,False
70,0,2,male,32.0,10.5,man,Southampton,True
71,0,3,female,16.0,46.9,woman,Southampton,False
72,0,2,male,21.0,73.5,man,Southampton,True
73,0,3,male,26.0,14.4542,man,Cherbourg,False
74,1,3,male,32.0,56.4958,man,Southampton,True
75,0,3,male,25.0,7.65,man,Southampton,True
76,0,3,male,,7.8958,man,Southampton,True
77,0,3,male,,8.05,man,Southampton,True
78,1,2,male,0.83,29.0,child,Southampton,False
79,1,3,female,30.0,12.475,woman,Southampton,True
80,0,3,male,22.0,9.0,man,Southampton,True
81,1,3,male,29.0,9.5,man,Southampton,True
82,1,3,female,,7.7875,woman,Queenstown,True
83,0,1,male,28.0,47.1,man,Southampton,True
84,1,2,female,17.0,10.5,woman,Southampton,True
85,1,3,female,33.0,15.85,woman,Southampton,False
86,0,3,male,16.0,34.375,man,Southampton,False
87,0,3,male,,8.05,man,Southampton,True
88,1,1,female,23.0,263.0,woman,Southampton,False
89,0,3,male,24.0,8.05,man,Southampton,True
90,0,3,male,29.0,8.05,man,Southampton,True
91,0,3,male,20.0,7.8542,man,Southampton,True
92,0,1,male,46.0,61.175,man,Southampton,False
93,0,3,male,26.0,20.575,man,Southampton,False
94,0,3,male,59.0,7.25,man,Southampton,True
95,0,3,male,,8.05,man,Southampton,True
96,0,1,male,71.0,34.6542,man,Cherbourg,True
97,1,1,male,23.0,63.3583,man,Cherbourg,False
98,1,2,female,34.0,23.0,woman,Southampton,False
99,0,2,male,34.0,26.0,man,Southampton,False
100,0,3,female,28.0,7.8958,woman,Southampton,True
101,0,3,male,,7.8958,man,Southampton,True
102,0,1,male,21.0,77.2875,man,Southampton,False
103,0,3,male,33.0,8.6542,man,Southampton,True
104,0,3,male,37.0,7.925,man,Southampton,False
105,0,3,male,28.0,7.8958,man,Southampton,True
106,1,3,female,21.0,7.65,woman,Southampton,True
107,1,3,male,,7.775,man,Southampton,True
108,0,3,male,38.0,7.8958,man,Southampton,True
109,1,3,female,,24.15,woman,Queenstown,False
110,0,1,male,47.0,52.0,man,Southampton,True
111,0,3,female,14.5,14.4542,child,Cherbourg,False
112,0,3,male,22.0,8.05,man,Southampton,True
113,0,3,female,20.0,9.825,woman,Southampton,False
114,0,3,female,17.0,14.4583,woman,Cherbourg,True
115,0,3,male,21.0,7.925,man,Southampton,True
116,0,3,male,70.5,7.75,man,Queenstown,True
117,0,2,male,29.0,21.0,man,Southampton,False
118,0,1,male,24.0,247.5208,man,Cherbourg,False
119,0,3,female,2.0,31.275,child,Southampton,False
120,0,2,male,21.0,73.5,man,Southampton,False
121,0,3,male,,8.05,man,Southampton,True
122,0,2,male,32.5,30.0708,man,Cherbourg,False
123,1,2,female,32.5,13.0,woman,Southampton,True
124,0,1,male,54.0,77.2875,man,Southampton,False
125,1,3,male,12.0,11.2417,child,Cherbourg,False
126,0,3,male,,7.75,man,Queenstown,True
127,1,3,male,24.0,7.1417,man,Southampton,True
128,1,3,female,,22.3583,woman,Cherbourg,False
129,0,3,male,45.0,6.975,man,Southampton,True
130,0,3,male,33.0,7.8958,man,Cherbourg,True
131,0,3,male,20.0,7.05,man,Southampton,True
132,0,3,female,47.0,14.5,woman,Southampton,False
133,1,2,female,29.0,26.0,woman,Southampton,False
134,0,2,male,25.0,13.0,man,Southampton,True
135,0,2,male,23.0,15.0458,man,Cherbourg,True
136,1,1,female,19.0,26.2833,woman,Southampton,False
137,0,1,male,37.0,53.1,man,Southampton,False
138,0,3,male,16.0,9.2167,man,Southampton,True
139,0,1,male,24.0,79.2,man,Cherbourg,True
140,0,3,female,,15.2458,woman,Cherbourg,False
141,1,3,female,22.0,7.75,woman,Southampton,True
142,1,3,female,24.0,15.85,woman,Southampton,False
143,0,3,male,19.0,6.75,man,Queenstown,True
144,0,2,male,18.0,11.5,man,Southampton,True
145,0,2,male,19.0,36.75,man,Southampton,False
146,1,3,male,27.0,7.7958,man,Southampton,True
147,0,3,female,9.0,34.375,child,Southampton,False
148,0,2,male,36.5,26.0,man,Southampton,False
149,0,2,male,42.0,13.0,man,Southampton,True
150,0,2,male,51.0,12.525,man,Southampton,True
151,1,1,female,22.0,66.6,woman,Southampton,False
152,0,3,male,55.5,8.05,man,Southampton,True
153,0,3,male,40.5,14.5,man,Southampton,False
154,0,3,male,,7.3125,man,Southampton,True
155,0,1,male,51.0,61.3792,man,Cherbourg,False
156,1,3,female,16.0,7.7333,woman,Queenstown,True
157,0,3,male,30.0,8.05,man,Southampton,True
158,0,3,male,,8.6625,man,Southampton,True
159,0,3,male,,69.55,man,Southampton,False
160,0,3,male,44.0,16.1,man,Southampton,False
161,1,2,female,40.0,15.75,woman,Southampton,True
162,0,3,male,26.0,7.775,man,Southampton,True
163,0,3,male,17.0,8.6625,man,Southampton,True
164,0,3,male,1.0,39.6875,child,Southampton,False
165,1,3,male,9.0,20.525,child,Southampton,False
166,1,1,female,,55.0,woman,Southampton,False
167,0,3,female,45.0,27.9,woman,Southampton,False
168,0,1,male,,25.925,man,Southampton,True
169,0,3,male,28.0,56.4958,man,Southampton,True
170,0,1,male,61.0,33.5,man,Southampton,True
171,0,3,male,4.0,29.125,child,Queenstown,False
172,1,3,female,1.0,11.1333,child,Southampton,False
173,0,3,male,21.0,7.925,man,Southampton,True
